,sepal_length,sepal_width,petal_length,petal_width,target,tsne_1,tsne_2
0,5.1,3.5,1.4,0.2,setosa,-26.62385,-2.969567
1,4.9,3.0,1.4,0.2,setosa,-29.334204,-2.056246
2,4.7,3.2,1.3,0.2,setosa,-29.084578,-3.2681649
3,4.6,3.1,1.5,0.2,setosa,-29.577831,-2.9022093
4,5.0,3.6,1.4,0.2,setosa,-26.578043,-3.3951583
5,5.4,3.9,1.7,0.4,setosa,-24.422123,-2.6837208
6,4.6,3.4,1.4,0.3,setosa,-28.833855,-3.6779342
7,5.0,3.4,1.5,0.2,setosa,-27.309448,-2.6239328
8,4.4,2.9,1.4,0.2,setosa,-30.339392,-3.0332134
9,4.9,3.1,1.5,0.1,setosa,-28.771458,-2.2133317
10,5.4,3.7,1.5,0.2,setosa,-25.028975,-2.7104669
11,4.8,3.4,1.6,0.2,setosa,-27.975214,-2.3330557
12,4.8,3.0,1.4,0.1,setosa,-29.5792,-2.3545702
13,4.3,3.0,1.1,0.1,setosa,-30.387962,-3.6774461
14,5.8,4.0,1.2,0.2,setosa,-23.675447,-3.140787
15,5.7,4.4,1.5,0.4,setosa,-23.633512,-3.5117438
16,5.4,3.9,1.3,0.4,setosa,-24.515974,-3.26397
17,5.1,3.5,1.4,0.3,setosa,-26.563229,-2.8308713
18,5.7,3.8,1.7,0.3,setosa,-24.079208,-2.5059948
19,5.1,3.8,1.5,0.3,setosa,-25.528374,-3.4199026
20,5.4,3.4,1.7,0.2,setosa,-25.658558,-1.7284744
21,5.1,3.7,1.5,0.4,setosa,-25.79366,-3.1089115
22,4.6,3.6,1.0,0.2,setosa,-28.477287,-4.4687414
23,5.1,3.3,1.7,0.5,setosa,-26.954638,-1.4074264
24,4.8,3.4,1.9,0.2,setosa,-27.947752,-1.3108606
25,5.0,3.0,1.6,0.2,setosa,-28.88976,-1.6217597
26,5.0,3.4,1.6,0.4,setosa,-27.111467,-1.9172022
27,5.2,3.5,1.5,0.2,setosa,-26.16316,-2.5391395
28,5.2,3.4,1.4,0.2,setosa,-26.530537,-2.5046763
29,4.7,3.2,1.6,0.2,setosa,-28.8913,-2.681616
30,4.8,3.1,1.6,0.2,setosa,-28.951466,-2.1427672
31,5.4,3.4,1.5,0.4,setosa,-25.768995,-1.8899434
32,5.2,4.1,1.5,0.1,setosa,-24.635303,-3.806108
33,5.5,4.2,1.4,0.2,setosa,-24.017952,-3.556385
34,4.9,3.1,1.5,0.2,setosa,-28.702633,-2.2466598
35,5.0,3.2,1.2,0.2,setosa,-28.136175,-3.2069368
